"","firstname","lastname","year","sex","count"
"342","ABDIEL","LORENZO",2015,"M",1
"343","ABDIEL","MANUEL",2015,"M",1
"344","ABDIEL","MARIO",2015,"M",1
"345","ABDIEL","MATHIAS",2015,"M",1
"346","ABDIEL","MATIAS",2015,"M",1
"347","ABDIEL","MISAEL",2015,"M",1
"348","ABDIEL","NAHEL",2015,"M",1
"349","ABDIEL","NOEL",2015,"M",1
"350","ABDIEL","OMAR",2015,"M",3
"351","ABDIEL","ONORIO",2015,"M",1
"352","ABDIEL","ORLANDO",2015,"M",1
"353","ABDIEL","RICARDO",2015,"M",1
"354","ABDIEL","RUBEN",2015,"M",1
"355","ABDIEL","SALOM—N",2015,"M",1
"356","ABDIEL","STEVEN",2015,"M",1
"357","ABDIEL","VALENTIN",2015,"M",1
"358","ABDIEL","WILLIAM",2015,"M",1
"359","ABDIEL","WINSTON",2015,"M",1
"360","ABDIEL","YAMIR",2015,"M",1
"361","ABDIEL","YOSIMAR",2015,"M",1
"362","ABDIEL","YUNIER",2015,"M",2
"363","ABDIEL","ZAIR",2015,"M",1
"364","ABD’EL","ALEXANDER",2015,"M",1
"365","ABDIELENYS","DEL CARMEN",2015,"F",1
"366","ABDIELIS","-",2015,"F",1
"367","ABDIELIS","ADALISKA",2015,"F",1
"368","ABDIELIS","ALDANA",2015,"F",1
"369","ABDIELIS","ANASTACIA",2015,"F",1
"370","ABDIELIS","DEL CARMEN",2015,"F",1
"371","ABDIELIS","ELIZABETH",2015,"F",1
"372","ABDIELIS","FERNANDA",2015,"F",1
"373","ABDIELIS","GUADALUPE",2015,"F",1
"374","ABDIELIS","MICHELL",2015,"F",1
"375","ABDIELIS","NAYELIS",2015,"F",1
"376","ABDIELIS","NICOLE",2015,"F",1
"377","ABDIELIS","REBECA",2015,"F",1
"378","ABDIELIS","SOFÍA",2015,"F",1
"379","ABDIELIS","SOLEDAD",2015,"F",1
"380","ABDIELIS","STEFANY",2015,"F",1
"381","ABDIELIS","YADIRA",2015,"F",1
"382","ABDIELIS","YIRIANI",2015,"F",1
"383","ABDIELIZ","ANYELIC",2015,"F",1
"384","ABDIELIZ","EDITH",2015,"F",1
"385","ABDIELYS","AMEILYS",2015,"F",1
"386","ABDIELYS","ARIADNYS",2015,"F",1
"387","ABDIELYS","CAMILA",2015,"F",1
"388","ABDIELYS","DANAIS",2015,"F",1
"389","ABDIELYS","JUDITH",2015,"F",1
"390","ABDIELYS","MICHELLE",2015,"F",1
"391","ABDIELYS","NIRESH",2015,"F",1
"392","ABDIELYS","NOEM’",2015,"F",1
"393","ABDIELYS","VICTORIA",2015,"F",2
"394","ABDIELYS","YARINETH",2015,"F",1
"395","ABDIELYS","YISSEL",2015,"F",1
"396","ABDIELYS","YOANIS",2015,"F",1
"397","ABDIELYS","ZULAYNIS",2015,"F",1
"398","ABDIELYZ","DAYRETH",2015,"F",1
"399","ABDIER","ABBATH",2015,"M",1
"400","ABDIERIS","NICOLL",2015,"F",1
"401","ABDILAIN","-",2015,"M",1
"402","ABDIMAEL","-",2015,"M",1
"403","ABDIMARYS","DEL CARMEN",2015,"F",1
"404","ABDIMIR","JAFET",2015,"M",1
"405","ABDIRIANIS","EVELIA",2015,"F",1
"406","ABDÒN","IVAN",2015,"M",1
"407","ABDRIEL","EDGARDO",2015,"M",1
"408","ABDRIEL","ILDELFONSO",2015,"M",1
"409","ABDRIEL","JOSÉ",2015,"M",1
"410","ABDUEL","ALESSIO",2015,"M",1
"411","ABDUL","ABDIEL",2015,"M",1
"412","ABDUL","ALBERTO",2015,"M",1
"413","ABDUL","ALEXANDER",2015,"M",1
"414","ABDUL","AMIR",2015,"M",1
"415","ABDUL","ANDRÉS",2015,"M",1
"416","ABDUL","ARIEL",2015,"M",1
"417","ABDUL","HAZATH",2015,"M",1
"418","ABDUL","JABBAR",2015,"M",1
"419","ABDUL","YAMIL",2015,"M",1
"420","ABDÚL","JESŒS",2015,"M",1
"421","ABDÚL","JOHAN",2015,"M",1
"422","ABDULHAQ","MOHAMED",2015,"M",1
"423","ABDULLAH","-",2015,"M",1
"424","ABDULLAH","ABDULRAHMAN",2015,"M",1
"425","ABDURRAHMAN","-",2015,"M",1
"426","ABDY","AIÁN",2015,"M",1
"427","ABED","JOSHAN",2015,"M",1
"428","ABED","SADAIR",2015,"M",1
"429","ABED","SULEIMAN",2015,"M",1
"430","ABEL","-",2015,"M",19
"431","ABEL","ABDEL",2015,"M",1
"432","ABEL","ABDIAS",2015,"M",1
"433","ABEL","ABDIEL",2015,"M",2
"434","ABEL","ABELARDO",2015,"M",1
"435","ABEL","ADRIÁN",2015,"M",1
"436","ABEL","ALBERTO",2015,"M",2
"437","ABEL","ALEXANDER",2015,"M",4
"438","ABEL","ALEXÁNDER",2015,"M",1
"439","ABEL","ALEXIS",2015,"M",1
"440","ABEL","AMETH",2015,"M",1
"441","ABEL","ANDRES",2015,"M",1
"442","ABEL","ANDRÉS",2015,"M",1
"443","ABEL","ANGEL",2015,"M",1
"444","ABEL","ANTONIO",2015,"M",4
"445","ABEL","AXEL",2015,"M",1
"446","ABEL","BUENAVENTURA",2015,"M",1
"447","ABEL","CALEB",2015,"M",1
"448","ABEL","DE JESŒS",2015,"M",1
"449","ABEL","DE JESŒS",2015,"M",1
"450","ABEL","ELIAS",2015,"M",2
"451","ABEL","EL’AS",2015,"M",1
"452","ABEL","ELIEZER",2015,"M",1
"453","ABEL","EMANUEL",2015,"M",1
"454","ABEL","EMIR",2015,"M",1
"455","ABEL","ENRIQUE",2015,"M",1
"456","ABEL","EZEQUIEL",2015,"M",1
"457","ABEL","GABRIEL",2015,"M",2
"458","ABEL","IGNACIO",2015,"M",1
"459","ABEL","ISAAC",2015,"M",6
"460","ABEL","ISAY",2015,"M",1
"461","ABEL","ISIDRO",2015,"M",1
"462","ABEL","IV‡N",2015,"M",1
"463","ABEL","JABDEL",2015,"M",1
"464","ABEL","JESUS",2015,"M",1
"465","ABEL","JESŒS",2015,"M",2
"466","ABEL","JOSÈ",2015,"M",1
"467","ABEL","JOSUE",2015,"M",1
"468","ABEL","JOSUÉ",2015,"M",1
"469","ABEL","JULIAN",2015,"M",1
"470","ABEL","MIGUEL",2015,"M",1
"471","ABEL","MOISES",2015,"M",1
"472","ABEL","NEFTALI",2015,"M",1
"473","ABEL","NESTALI",2015,"M",1
"474","ABEL","NEYMAR",2015,"M",1
"475","ABEL","NOŽ",2015,"M",1
"476","ABEL","NOEL",2015,"M",1
"477","ABEL","YASSIR",2015,"M",1
"478","ABEL","YIMAR",2015,"M",1
"479","ABEL","YOSIMAR",2015,"M",1
"480","ABELARDO","-",2015,"M",6
"481","ABELARDO","SAÚL",2015,"M",1
"482","ABELIANETH","-",2015,"F",1
"483","ABELINA","-",2015,"F",1
"484","ABELINA","MARQUELA",2015,"F",1
"485","ABELINO","-",2015,"M",4
"486","ABELIS","LUCIA",2015,"F",1
"487","ABELITO","-",2015,"M",1
"488","ABELIZ","-",2015,"F",1
"489","ABELLANYS","YAMILETH",2015,"F",1
"490","ABERNECO","TOCHI",2015,"M",1
"491","ABETH","ABDAIAS",2015,"M",1
"492","ABETH","JOSIER",2015,"M",1
"493","ABEYSI","NAITH",2015,"F",1
"494","ABI","MAGDIELY",2015,"F",1
"495","ABIAG","ROLIANIS",2015,"F",1
"496","ABIAM","CALEB",2015,"M",1
"497","ABIAS","KADIEL",2015,"M",1
"498","ABIASAF","DAVID",2015,"M",1
"499","ABID","EDRIS",2015,"M",1
"500","ABIDALYS","YOSEINY",2015,"F",1
"501","ABIDELIS","LEONORA",2015,"F",1
"502","ABIECER","YOSIAS",2015,"M",1
"503","ABIEL","-",2015,"M",1
"504","ABIEL","AAR—N",2015,"M",1
"505","ABIEL","ABNER",2015,"M",1
"506","ABIEL","ADAIR",2015,"M",1
"507","ABIEL","AIMAR",2015,"M",1
"508","ABIEL","ALEXANDER",2015,"M",1
"509","ABIEL","ERASMO",2015,"M",1
"510","ABIEL","ERNESTO",2015,"M",1
"511","ABIEL","GENARO",2015,"M",1
"512","ABIEL","GERMÁN",2015,"M",1
"513","ABIEL","GIAN",2015,"M",1
"514","ABIEL","OBED",2015,"M",1
"515","ABIEL","SAMUEL",2015,"M",1
"516","ABIEZER","-",2015,"M",1
"517","ABIEZER","ADIEL",2015,"M",1
"518","ABIEZER","ALEXANDER",2015,"M",1
"519","ABIGAHIL","ATALIA",2015,"F",1
"520","ABIGAHIL","MASSIEL",2015,"F",1
"521","ABIGAID","ROLIANIS",2015,"F",1
"522","ABIGAIL","-",2015,"M",2
"523","ABIGAIL","-",2015,"F",14
