tariff_fraction,total
8518.50.90,2191
6403.99.92,2177
3919.10.10,2173
8212.10.20,2171
6302.31.90,2166
7326.90.49,2165
0406.90.19,2162
3405.30.00,2161
8481.40.00,2159
8481.30.00,2158
4911.10.40,2153
3005.10.00,2150
4909.00.90,2150
1517.10.00,2137
6907.30.90,2137
8542.31.19,2132
1704.10.00,2132
1904.10.10,2116
9503.00.92,2113
8419.81.00,2111
8501.40.00,2107
8413.60.90,2105
8407.34.00,2103
6211.49.90,2102
3005.90.10,2096
9401.90.90,2095
1806.32.00,2093
6203.41.12,2090
3917.23.90,2090
8431.39.00,2089
3403.99.00,2085
8202.10.00,2083
3004.20.20,2080
6302.91.20,2080
7318.21.00,2079
8418.69.29,2060
3926.90.20,2058
8506.10.19,2053
1515.90.49,2052
6506.10.90,2052
8523.49.39,2051
8418.21.19,2047
6215.10.00,2046
9402.90.12,2043
9610.00.00,2038
3924.10.60,2035
6204.12.10,2032
3405.90.90,2030
6702.90.00,2019
6910.90.00,2017
6112.49.00,2014
9801.00.00,2014
9033.00.00,2009
6403.51.40,2007
6208.99.00,2006
9603.40.90,2003
9504.90.50,1996
2005.80.00,1995
7017.90.00,1991
6208.91.00,1987
6302.99.90,1980
3920.10.10,1980
7312.10.00,1978
8803.30.00,1975
3917.39.99,1966
8510.20.00,1959
6108.29.10,1953
6204.49.29,1950
0910.99.90,1945
8505.20.00,1945
3304.99.30,1943
9609.10.10,1943
6506.99.90,1937
2309.90.99,1937
9615.11.00,1934
4819.40.90,1930
6302.91.10,1930
9021.90.00,1928
9023.00.00,1922
6203.49.24,1921
8414.60.00,1921
9403.40.00,1918
3926.20.90,1917
8484.20.00,1910
0603.12.00,1909
7615.20.30,1905
6404.19.34,1905
9405.60.00,1904
8470.10.00,1904
3924.10.82,1903
8471.41.10,1900
6702.10.00,1899
8702.10.91,1896
9027.80.90,1895
6108.31.10,1886
8487.90.90,1884
3925.90.10,1878
8450.12.90,1872
2002.10.00,1871
4820.10.90,1870
6402.19.00,1865
4819.30.90,1865
3926.20.29,1864
6108.32.00,1863
0709.99.90,1859
9004.90.10,1855
7318.19.00,1855
3303.00.21,1852
9105.29.00,1846
3923.30.60,1844
6403.99.10,1839
6203.29.90,1837
8527.99.90,1835
8481.10.00,1834
6203.33.90,1834
3808.91.99,1834
6101.30.00,1828
8523.21.10,1825
8205.51.90,1821
8211.91.00,1821
0603.11.00,1811
9001.50.00,1810
6110.19.00,1806
6104.59.00,1804
3215.90.90,1803
9020.00.00,1802
6201.92.00,1801
3926.90.92,1799
6207.19.00,1798
6802.21.00,1797
6402.91.91,1796
2005.70.00,1793
3102.30.00,1788
3006.60.00,1783
4903.00.00,1782
8543.90.90,1780
1905.90.21,1779
6505.00.20,1778
6203.42.13,1775
6204.39.00,1770
8516.31.00,1769
8305.20.90,1769
8536.20.90,1765
2309.90.40,1764
2106.90.80,1763
8516.72.00,1759
9603.90.91,1756
6301.40.00,1756
6302.99.10,1755
7604.29.90,1752
8302.20.00,1750
6907.23.00,1744
6211.32.90,1742
6106.90.10,1741
7113.11.00,1740
8542.31.11,1739
6203.49.22,1739
9004.90.00,1737
4202.11.00,1734
8451.29.00,1734
8544.42.10,1734
1902.20.00,1732
8201.40.90,1730
8407.29.00,1729
0603.90.90,1729
4009.32.00,1728
3305.20.00,1725
3002.12.90,1716
6302.59.90,1716
3215.19.90,1715
8483.50.10,1706
6216.00.90,1699
3926.90.97,1699
2201.90.20,1694
9603.30.90,1694
0202.30.00,1693
3208.90.11,1691
8527.19.90,1689
8703.33.94,1689
3824.40.90,1687
9032.89.29,1687
6401.10.10,1681
2505.90.00,1677
4009.12.00,1675
3925.90.20,1668
2001.10.00,1668
6104.49.10,1666
3212.90.90,1666
4910.00.19,1665
9001.30.00,1659
8517.61.10,1659
6204.69.21,1658
6201.12.00,1655
9405.50.59,1648
6105.20.00,1647
2008.19.90,1647
8412.21.00,1644
4009.11.90,1641
8452.10.00,1640
2103.90.10,1639
8413.50.90,1638
0904.12.00,1637
2009.90.13,1633
2008.99.30,1632
3925.10.00,1632
8523.49.92,1631
8518.90.00,1631
8423.10.00,1627
8407.90.00,1624
1602.49.14,1622
8211.93.90,1621
6203.43.25,1614
4811.41.90,1614
3926.90.62,1613
8509.80.99,1613
6704.19.00,1613
8419.90.00,1611
9603.90.41,1611
